EMPRESA;MODELO;DES_MODELO;FAMILIA;DES_FAMILIA;MARCA
1;5X1GC4              ;GOL SERIE OURO                          ;1;PADRÃO                        ;VW  
1;5X1GD4              ;GOL 1.6 POWER                           ;1;PADRÃO                        ;VW  
1;5X1GM4              ;GOL 1.0 POWER                           ;1;PADRÃO                        ;VW  
1;5X1GN4              ;GOL 16V POWER                           ;1;PADRÃO                        ;VW  
1;5X1GS4              ;GOL 1.6 POWER                           ;1;PADRÃO                        ;VW  
1;5X1HN4              ;GOL 16V SPORT                           ;1;PADRÃO                        ;VW  
1;5X1JN4              ;GOL 16V PLUS 4 PTS                      ;1;PADRÃO                        ;VW  
1;5X1KC4              ;GOL FUN                                 ;1;PADRÃO                        ;VW  
1;5X1KS4              ;GOL RALLYE                              ;1;PADRÃO                        ;VW  
1;5X1KT4              ;GOL 1.8 RALLYE                          ;1;PADRÃO                        ;VW  
1;5X1LS4              ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;5X1LU4              ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;5X1NN4              ;GOL 16V PLUS                            ;1;PADRÃO                        ;VW  
1;5X1PM4              ;GOL TREND                               ;1;PADRÃO                        ;VW  
1;5X1RN4              ;GOL HIGHWAY                             ;1;PADRÃO                        ;VW  
1;5X1UM4              ;GOL 10 CITY                             ;1;PADRÃO                        ;VW  
1;5X2D4               ;PARATI                                  ;1;PADRÃO                        ;VW  
1;5X51C4              ;PARAT.16V PLUS                          ;1;PADRÃO                        ;VW  
1;5X51F4              ;PARATI 1.8                              ;1;PADRÃO                        ;VW  
1;5X51N4              ;PARATI 16V PLUS                         ;1;PADRÃO                        ;VW  
1;5X52D4              ;PARATI                                  ;1;PADRÃO                        ;VW  
1;3794715             ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;3B2PA21             ;PASSAT 1.8L                             ;1;PADRÃO                        ;VW  
1;3B2PA25             ;IMP. VW PASSAT TURBO                    ;1;PADRÃO                        ;VW  
1;3B2PA26             ;PASSAT ALEMAO                           ;1;PADRÃO                        ;VW  
1;3X23A4              ;SANTANA                                 ;1;PADRÃO                        ;VW  
1;3X23B4              ;SANTANA 1.8                             ;1;PADRÃO                        ;VW  
1;3X23C4              ;SANTANA 2.0                             ;1;PADRÃO                        ;VW  
1;3X2EB4              ;SANTANA                                 ;1;PADRÃO                        ;VW  
1;3X2FA4              ;SANTANA                                 ;1;PADRÃO                        ;VW  
1;5579310             ;POINTER 1.8                             ;1;PADRÃO                        ;VW  
1;5579312             ;POINTER 1.8L                            ;1;PADRÃO                        ;VW  
1;5579335             ;POINTER CL AP-1800I                     ;1;PADRÃO                        ;VW  
1;5W90V4              ;VW/SAVEIRO 1.6                          ;1;PADRÃO                        ;VW  
1;5579424             ;POINTER GLI 2000                        ;1;PADRÃO                        ;VW  
1;5Z62E4              ;SPACEFOX                                ;1;PADRÃO                        ;VW  
1;5W1LS4              ;GOL 1,6                                 ;1;PADRÃO                        ;VW  
1;9B1OF4              ;GOLF 1.6                                ;1;PADRÃO                        ;VW  
1;9B12V4              ;GOL                                     ;1;PADRÃO                        ;VW  
1;9B10G4              ;GOLF 2.0                                ;1;PADRÃO                        ;VW  
1;9B13H3              ;GOLF 2.0                                ;1;PADRÃO                        ;VW  
1;327CN2              ;SANTANA                                 ;1;PADRÃO                        ;VW  
1;3273E2              ;SANTANA  4 PORTAS                       ;1;PADRÃO                        ;VW  
1;327FC2              ;SANTANA                                 ;1;PADRÃO                        ;VW  
1;327AC2              ;VW\SANTANA                              ;1;PADRÃO                        ;VW  
1;327AD2              ;VW. SANTANA                             ;1;PADRÃO                        ;VW  
1;VW8120              ;CAMINHAO                                ;1;PADRÃO                        ;VW  
1;327BE2              ;SANTANA 2.0                             ;1;PADRÃO                        ;VW  
1;3271J2              ;SANTANA 4 PORTAS GL2000                 ;1;PADRÃO                        ;VW  
1;327ME1              ;SANTANA 2.0 MI 4PTS                     ;1;PADRÃO                        ;VW  
1;3251J2              ;SANTANA 2 PORTAS CL 2000 5M             ;1;PADRÃO                        ;VW  
1;331AC2              ;SANTANA QUANTO                          ;1;PADRÃO                        ;VW  
1;3311D1              ;SANTANA QUANTUM                         ;1;PADRÃO                        ;VW  
1;3311E2              ;SANTANA  QUANTUN 2000MI 5 LUGA          ;1;PADRÃO                        ;VW  
1;331BE2              ;SANTANA                                 ;1;PADRÃO                        ;VW  
1;3X53C4              ;SANTAN QUANTO                           ;1;PADRÃO                        ;VW  
1;3X2384              ;SANTANA SL 1.8                          ;1;PADRÃO                        ;VW  
1;5Y01A4              ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;3737W2              ;GOL 16.V  4P                            ;1;PADRÃO                        ;VW  
1;377BW2              ;GOL 16V 1000                            ;1;PADRÃO                        ;VW  
1;5X11K4              ;GOL 16V TURBO                           ;1;PADRÃO                        ;VW  
1;3777W2              ;GOL                                     ;1;PADRÃO                        ;VW  
1;5X15N4              ;GOL 16V PLUS                            ;1;PADRÃO                        ;VW  
1;5Y10B4              ;GOL SPECIAL                             ;1;PADRÃO                        ;VW  
1;5X1LB4              ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;373ZW2              ;GOL OURO                                ;1;PADRÃO                        ;VW  
1;3735W2              ;GOL PLUS 16 V 4 P                       ;1;PADRÃO                        ;VW  
1;5Y104               ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;3771Y2              ;GOL PLUS                                ;1;PADRÃO                        ;VW  
1;5X5BC4              ;PARATI 16V                              ;1;PADRÃO                        ;VW  
1;5X1L44              ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;5X1                 ;GOL GERACAO III                         ;1;PADRÃO                        ;VW  
1;373CR2              ;GOL 16V TURBO                           ;1;PADRÃO                        ;VW  
1;NOVO                ;GOL MI 16V 4P                           ;1;PADRÃO                        ;VW  
1;5XCG4               ;GOL SERIE OURO                          ;1;PADRÃO                        ;VW  
1;5Y1AA4GOL           ;UNO MILLE FIRE                          ;1;PADRÃO                        ;VW  
1;5Z11A4              ;FOX 1.0                                 ;1;PADRÃO                        ;VW  
1;5Z11C4              ;FOX                                     ;1;PADRÃO                        ;VW  
1;5Z12A4              ;FOX 1.0                                 ;1;PADRÃO                        ;VW  
1;5Z12C4              ;FOX                                     ;1;PADRÃO                        ;VW  
1;5Z12C42004          ;FOX 1.6                                 ;1;PADRÃO                        ;VW  
1;5Z12E4              ;FOX 1.6 PLUS                            ;1;PADRÃO                        ;VW  
1;5Z13E4              ;FOX 1.6                                 ;1;PADRÃO                        ;VW  
1;5Z63E4              ;SPACEFOX                                ;1;PADRÃO                        ;VW  
1;6K2PC20             ;POLO CLASSIC 1.8 MI                     ;1;PADRÃO                        ;VW  
1;6K2PC23             ;POLO CLASSIC 1.8 MI                     ;1;PADRÃO                        ;VW  
1;6K2PC31             ;POLO CLASSIC 1.8L                       ;1;PADRÃO                        ;VW  
1;6K2PC33             ;POLO CLASSIC 1.8MI                      ;1;PADRÃO                        ;VW  
1;6K2PC35             ;POLO CLASSIC 1.8 MI                     ;1;PADRÃO                        ;VW  
1;6K2PC40             ;POLO CLASSIC 1.8L                       ;1;PADRÃO                        ;VW  
1;6K2PC41             ;POLO 1.6                                ;1;PADRÃO                        ;VW  
1;6K2PC45             ;POLO CLASSIC 1.8L                       ;1;PADRÃO                        ;VW  
1;6K2PC52             ;POLO CLASSIC 1.8L                       ;1;PADRÃO                        ;VW  
1;6K2PC53             ;POLO CLASSIC 4 P MI                     ;1;PADRÃO                        ;VW  
1;6K2PC71             ;POLO CLASSIC 4 P MI                     ;1;PADRÃO                        ;VW  
1;6K2PC72             ;POLO CLASSIC 4 P MI                     ;1;PADRÃO                        ;VW  
1;6K2PC73             ;POLO CLASSIC 4 P MI                     ;1;PADRÃO                        ;VW  
1;6K9VN00             ;IMP.  VW    VAN                         ;1;PADRÃO                        ;VW  
1;6K9VN10             ;IMP.  VW    VAN                         ;1;PADRÃO                        ;VW  
1;7DJEV01             ;EUROVAN 2.4L                            ;1;PADRÃO                        ;VW  
1;7X21A1              ;VW\KOMBI                                ;1;PADRÃO                        ;VW  
1;7X21D1              ;VW/KOMBI                                ;1;PADRÃO                        ;VW  
1;7X2AA1              ;KOMBI ESCOLAR                           ;1;PADRÃO                        ;VW  
1;7X2BA1              ;KOMBI LOTACAO                           ;1;PADRÃO                        ;VW  
1;9A12F4              ;POLO SEDAN                              ;1;PADRÃO                        ;VW  
1;9A12K4              ;POLO                                    ;1;PADRÃO                        ;VW  
1;9A12N4              ;VW/POLO 1.6                             ;1;PADRÃO                        ;VW  
1;9A13F4              ;POLO 1.6                                ;1;PADRÃO                        ;VW  
1;9A1BF4              ;POLO 1.6                                ;1;PADRÃO                        ;VW  
1;9A1C4               ;POLO                                    ;1;PADRÃO                        ;VW  
1;9A1CK4              ;VW/POLO 1.6                             ;1;PADRÃO                        ;VW  
1;9A1CN4              ;POLO                                    ;1;PADRÃO                        ;VW  
1;9A22F4              ;POLO SEDAN                              ;1;PADRÃO                        ;VW  
1;9A22G4              ;POLO SEDAN 2,0                          ;1;PADRÃO                        ;VW  
1;9A22K4              ;VW/POLO SEDAN 1.6                       ;1;PADRÃO                        ;VW  
1;5U3BN4              ;GOL SPECIAL MB                          ;12;GOL                           ;VW  
1;5UAME4              ;SAVEIRO SC SURF                         ;1;PADRÃO                        ;VW  
1;5Z54S2              ;CROSSFOX 1 6 TOTAL FLEX 4 PORTAS        ;25;CROSSFOX                      ;VW  
1;5Z54S6              ;CROSSFOX 1 6 I MOTION TOTAL FLEX 4 PORTA;25;CROSSFOX                      ;VW  
1;6A5CK4              ;CROSS UP 4 PORTAS                       ;23;UP                            ;VW  
1;6A5CK6              ;CROSS UP 4 PORTAS I MOTION              ;23;UP                            ;VW  
1;888VWB              ;PARATI SUMMER                           ;1;PADRÃO                        ;VW  
1;999OUTRAS           ;VW  GOL 16V. 4P                         ;1;PADRÃO                        ;VW  
1;3094500             ;PARATI 1.6                              ;1;PADRÃO                        ;VW  
1;BBO6                ;CLIO                                    ;1;PADRÃO                        ;VW  
1;357T                ;CLIO RL 1.6 8V                          ;1;PADRÃO                        ;VW  
1;BB0Y                ;CLIO AUTH/EXP 1.0 8V                    ;1;PADRÃO                        ;VW  
1;377                 ;GOL 2 PORTA                             ;1;PADRÃO                        ;VW  
1;131313              ;PAJERO                                  ;1;PADRÃO                        ;VW  
