EMPRESA;REVENDA;NUMERO_NOTA_FISCAL;SERIE_NOTA_FISCAL;TIPO_TRANSACAO;DTA_ENTRADA_SAIDA;DTA_DOCUMENTO;CLIENTE;DEPARTAMENTO;USUARIO;REVENDA_ORIGEM;QUANTIDADE;VAL_FRETE;VAL_DESCONTO;VAL_SEGURO;VAL_IPI;VAL_PIS;VAL_COFINS;VAL_TOTAL_REAL_ITEM;VAL_TOTAL_NOTA_ITEM;VAL_ICMS_RETIDO;VAL_CUSTO_CONTABIL;VAL_ICMS;VENDEDOR;VAL_ISS_RETIDO;COD_SETOR_VENDA;VAL_BONUS;MODELO
5;3;236;1    ;V21;2017/02/20 00:00:00.000;2017/02/20 00:00:00.000;99864;100;531;3;1;0;0;0;0;0;0;50500;50500;0;50580.15;0; 19;;N;;5Z5FE4
5;3;1301;1    ;V21;2017/04/19 00:00:00.000;2017/04/19 00:00:00.000;101335;100;559;3;1;0;0;0;0;0;0;52400;52400;0;50580.15;0; 34;;N;;5Z5FE4
5;3;520;1    ;V21;2017/03/09 00:00:00.000;2017/03/09 00:00:00.000;100531;100;509;3;1;0;0;0;0;0;0;39000;39000;0;38798.41;0; 8;;N;;5U5DK4
5;3;7684;1    ;U21;2018/03/12 00:00:00.000;2018/03/12 00:00:00.000;192851;200;508;3;1;0;0;0;0;31.85;147;32900;32900;0;28000;279.65; 29;;U;;5U5TK4
5;3;1024;1    ;V21;2017/04/04 00:00:00.000;2017/04/04 00:00:00.000;101600;100;550;3;1;0;0;0;0;0;0;55000;55000;0;53760.76;0; 26;;N;;5U6FE4
5;3;963;1    ;V21;2017/03/31 00:00:00.000;2017/03/31 00:00:00.000;101442;100;509;3;1;0;0;0;0;0;0;43900;43900;0;39654.6;0; 8;;N;;5U5DK4
5;3;27;1    ;V21;2017/02/06 00:00:00.000;2017/02/06 00:00:00.000;99495;100;505;3;1;0;0;0;0;0;0;54000;54000;0;53760.76;0; 1;;N;;5U6FE4
5;3;1815;1    ;V21;2017/05/19 00:00:00.000;2017/05/19 00:00:00.000;100980;100;585;3;1;0;0;0;0;0;0;39500;39500;0;39654.6;0; 44;;N;;5U5DK4
5;3;828;1    ;V21;2017/03/25 00:00:00.000;2017/03/25 00:00:00.000;101215;100;509;3;1;0;0;0;0;0;0;44000;44000;0;42711.02;0; 8;;N;;5U5TE4
5;3;2161;1    ;V21;2017/06/07 00:00:00.000;2017/06/07 00:00:00.000;124193;100;509;3;1;0;0;0;0;0;0;44046;44046;0;40990.99;0; 8;;N;;5U5DK4
5;3;2258;1    ;V21;2017/06/14 00:00:00.000;2017/06/14 00:00:00.000;183043;100;585;3;1;0;0;0;0;0;0;48500;48500;0;45506.47;0; 44;;N;;5U5EK4
5;3;1728;1    ;U21;2017/05/17 00:00:00.000;2017/05/17 00:00:00.000;187611;200;508;3;1;0;0;0;0;39;180;25000;25000;0;19000;212.5; 29;;U;;9BW6006
5;3;16166;1    ;U21;2019/03/15 00:00:00.000;2019/03/15 00:00:00.000;130864;200;732;3;1;0;0;0;0;6.5;30;24000;24000;0;23000;204; 84;;U;;5Z4RE4
5;3;1414;1    ;V21;2017/04/26 00:00:00.000;2017/04/26 00:00:00.000;102244;100;510;3;1;0;0;0;0;0;0;52000;52000;0;51413.33;0; 21;;N;;5U6FE4
5;3;2006;1    ;V21;2017/05/29 00:00:00.000;2017/05/29 00:00:00.000;102054;100;510;3;1;0;0;0;0;0;0;45000;45000;0;44172.87;0; 21;;N;;5U5EK4
5;3;1023;1    ;V21;2017/04/04 00:00:00.000;2017/04/04 00:00:00.000;101442;500;509;3;1;0;0;0;0;0;0;47400;47400;0;44172.87;0; 8;;N;;5U5EK4
5;3;1485;1    ;V21;2017/04/29 00:00:00.000;2017/04/29 00:00:00.000;102365;100;510;3;1;0;0;0;0;0;0;46400;46400;0;46368.24;0; 21;;N;;5U6TK4
5;3;3547;1    ;V21;2017/08/15 00:00:00.000;2017/08/15 00:00:00.000;189659;100;585;3;1;0;0;0;0;0;0;52000;52000;0;51175.93;0; 44;;N;;6A63P4
5;3;920;1    ;V21;2017/03/30 00:00:00.000;2017/03/30 00:00:00.000;101319;500;560;3;1;0;0;0;0;0;0;40000;40000;0;38798.41;0; 35;;N;;5U5DK4
5;3;5117;1    ;V21;2017/11/06 00:00:00.000;2017/11/06 00:00:00.000;190963;100;585;3;1;0;0;0;0;0;0;51990;51990;0;50396.99;0; 44;;N;;6A63P4
5;3;1428;1    ;V21;2017/04/27 00:00:00.000;2017/04/27 00:00:00.000;102120;100;505;3;1;0;0;0;0;0;0;54000;54000;0;51743.64;0; 1;;N;;6A6CP4
5;3;67;1    ;V21;2017/02/13 00:00:00.000;2017/02/13 00:00:00.000;99599;100;505;3;1;0;0;0;0;0;0;54000;54000;0;50580.15;0; 1;;N;;5Z5FE4
5;3;150;1    ;V21;2017/02/17 00:00:00.000;2017/02/17 00:00:00.000;99843;100;531;3;1;0;0;0;0;0;0;50241.25;50241.25;0;49004.74;0; 19;;N;;6A53P4
5;3;1502;1    ;V21;2017/05/02 00:00:00.000;2017/05/02 00:00:00.000;102434;100;470;3;1;0;0;0;0;0;0;45000;45000;0;42711.02;0; 10;;N;;5U5TE4
5;3;368;1    ;U21;2017/02/24 00:00:00.000;2017/02/24 00:00:00.000;100101;200;507;3;1;0;0;0;0;15.93;73.5;19750;19750;0;17300;167.88; 30;;U;;8AG2400
5;3;38;1    ;U21;2017/02/10 00:00:00.000;2017/02/10 00:00:00.000;99595;200;508;3;1;0;0;0;0;12.98;59.91;17497;17497;0;15500;148.72; 29;;U;;3738605
5;3;22;1    ;V21;2017/02/04 00:00:00.000;2017/02/04 00:00:00.000;99417;100;505;3;1;0;0;0;0;0;0;40300;40300;0;38705.35;0; 1;;N;;5U5DK4
5;3;8836;1    ;U21;2018/05/02 00:00:00.000;2018/05/02 00:00:00.000;100766;200;508;3;1;0;0;0;0;13;60;30000;30000;0;28000;255; 29;;U;;5U3FE4
5;3;392;1    ;V21;2017/02/24 00:00:00.000;2017/02/24 00:00:00.000;100182;100;510;3;1;0;0;0;0;0;0;75000;75000;0;70680.53;0; 21;;N;;5UD6S4
5;3;840;1    ;V21;2017/03/27 00:00:00.000;2017/03/27 00:00:00.000;100994;100;510;3;1;0;0;0;0;0;0;51130;51130;0;53760.76;0; 21;;N;;5U6FE4
5;3;3161;1    ;V21;2017/07/31 00:00:00.000;2017/07/31 00:00:00.000;131826;100;537;3;1;0;0;0;0;0;0;50000;50000;0;50580.15;0; 22;;N;;5Z5FE4
5;2;28219;1    ;V21;2019/02/27 00:00:00.000;2019/02/27 00:00:00.000;49741;100;31;2;1;0;0;0;0;0;0;80500;80500;0;67261.64;0; 3;;N;;BZ22U3
5;2;29068;1    ;V21;2019/04/03 00:00:00.000;2019/04/03 00:00:00.000;35106;100;697;2;1;0;0;0;0;0;0;59925;59925;0;56543.43;0; 100;;N;2500;5U7TS2
5;2;28563;1    ;V21;2019/03/14 00:00:00.000;2019/03/14 00:00:00.000;198279;100;31;2;1;0;0;0;0;0;0;83900;83900;0;69442.87;0; 3;;N;1000;BZ13B3
5;2;28955;1    ;V21;2019/03/29 00:00:00.000;2019/03/29 00:00:00.000;198537;100;587;2;1;0;0;0;0;0;0;49900;49900;0;43107.02;0; 61;;N;3200;5U7TA4
5;2;5684;1    ;U21;2017/04/10 00:00:00.000;2017/04/10 00:00:00.000;24171;200;19;2;1;0;0;0;0;1.3;6;14600;14600;0;14400;131.4; 47;;U;;5U11C4
5;2;11773;1    ;I21;2017/10/09 00:00:00.000;2017/10/09 00:00:00.000;190486;100;31;2;1;0;0;0;0;0;0;31247.11;31247.11;0;35688.32;1124.9; 3;;N;;5U5EK4
5;2;25357;1    ;V21;2018/11/19 00:00:00.000;2018/11/19 00:00:00.000;196419;100;587;2;1;0;0;0;0;0;0;50900;50900;0;46773.75;0; 61;;N;;5Z5KE4
5;2;25440;1    ;V21;2018/11/21 00:00:00.000;2018/11/21 00:00:00.000;196519;100;31;2;1;0;0;0;0;0;0;49900;49900;0;41869.28;0; 3;;N;;5U7TA4
5;2;25823;1    ;V21;2018/12/04 00:00:00.000;2018/12/04 00:00:00.000;196878;100;587;2;1;0;0;0;0;0;0;62900;62900;0;53395.11;0; 61;;N;;BZ12Q4
5;2;3363;1    ;V21;2017/01/28 00:00:00.000;2017/01/28 00:00:00.000;99044;100;101;2;1;0;0;0;0;0;0;39990;39990;0;38894.25;0; 24;;N;;5U5DK4
5;2;26263;1    ;V21;2018/12/20 00:00:00.000;2018/12/20 00:00:00.000;197236;100;26;2;1;0;0;0;0;0;0;75000;75000;0;73029.64;0; 4;;N;;BZ23B3
5;2;26364;1    ;V21;2018/12/27 00:00:00.000;2018/12/27 00:00:00.000;194614;100;587;2;1;0;0;0;0;0;0;84900;84900;0;71227.05;0; 61;;N;;BZ23B3
5;2;26113;1    ;V21;2018/12/14 00:00:00.000;2018/12/14 00:00:00.000;197140;100;26;2;1;0;0;0;0;0;0;57990;57990;0;46773.75;0; 4;;N;;5Z5KE4
5;2;24783;1    ;V21;2018/10/31 00:00:00.000;2018/10/31 00:00:00.000;195977;100;332;2;1;0;0;0;0;0;0;41900;41900;0;41869.28;0; 31;;N;3250;5U7TA4
5;2;25363;1    ;V21;2018/11/19 00:00:00.000;2018/11/19 00:00:00.000;196260;100;587;2;1;0;0;0;0;0;0;63900;63900;0;53957.84;0; 61;;N;;5U7TS2
5;2;26496;1    ;U21;2018/12/29 00:00:00.000;2018/12/29 00:00:00.000;96339;200;709;2;1;0;0;0;0;16.25;75;46500;46500;0;44000;418.5; 106;;U;;9BR0185
5;2;27898;1    ;V21;2019/02/18 00:00:00.000;2019/02/18 00:00:00.000;198027;100;26;2;1;0;0;0;0;0;0;56900;56900;0;46773.75;0; 4;;N;;5Z5KE4
5;2;25958;1    ;U21;2018/12/10 00:00:00.000;2018/12/10 00:00:00.000;59948;200;26;2;1;0;0;0;0;22.75;105;38500;38500;0;35000;346.5; 4;;U;;5U5FE4
5;2;26204;1    ;U21;2018/12/20 00:00:00.000;2018/12/20 00:00:00.000;50914;200;709;2;1;0;0;0;0;0;0;15000;15000;0;15000;135; 106;;U;;6K2PC34
5;2;25671;1    ;V21;2018/11/29 00:00:00.000;2018/11/29 00:00:00.000;40450;100;587;2;1;0;0;0;0;0;0;49500;49500;0;46522.4;0; 61;;N;;5U7TA4
5;2;25030;1    ;U21;2018/11/07 00:00:00.000;2018/11/07 00:00:00.000;97344;200;709;2;1;0;0;0;0;6.5;30;14000;14000;0;13000;126; 106;;U;;9BD016
5;2;27946;1    ;V21;2019/02/19 00:00:00.000;2019/02/19 00:00:00.000;198041;100;26;2;1;0;0;0;0;0;0;44900;44900;0;43107.02;0; 4;;N;;5U7TA4
5;2;25407;1    ;V21;2018/11/20 00:00:00.000;2018/11/20 00:00:00.000;196464;100;26;2;1;0;0;0;0;0;0;70000;70000;0;61190.22;0; 4;;N;;BZ22U4
5;2;25746;1    ;V21;2018/11/30 00:00:00.000;2018/11/30 00:00:00.000;8238;100;633;2;1;0;0;0;0;0;0;40000;40000;0;41869.28;0; 72;;N;;5U7TA4
