,VAL_CUSTO_CONTABIL
2016-03-09,14901.01
2016-03-10,29219.389999999992
2016-03-11,32569.180000000008
2016-03-12,10959.540000000003
2016-03-13,0.0
2016-03-14,13626.95
2016-03-15,23384.510000000002
2016-03-16,17900.579999999994
2016-03-17,18860.470000000005
2016-03-18,17596.58
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,9171.019999999999
2016-03-22,64911.57
2016-03-23,21045.730000000007
2016-03-24,26969.300000000003
2016-03-25,0.0
2016-03-26,521.8399999999999
2016-03-27,0.0
2016-03-28,24094.100000000006
2016-03-29,20766.000000000004
2016-03-30,29003.329999999998
2016-03-31,37067.23
2016-04-01,12190.210000000001
2016-04-02,2084.55
2016-04-03,0.0
2016-04-04,8037.8099999999995
2016-04-05,16140.349999999999
2016-04-06,15112.560000000001
2016-04-07,5568.840000000001
2016-04-08,0.0
2016-04-09,0.0
2016-04-10,0.0
2016-04-11,0.0
2016-04-12,0.0
2016-04-13,0.0
2016-04-14,0.0
2016-04-15,0.0
2016-04-16,0.0
2016-04-17,0.0
2016-04-18,0.0
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,0.0
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,0.0
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,0.0
2016-04-29,0.0
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,1647.7499999999998
2016-05-03,1741.2500000000002
2016-05-04,6996.679999999999
2016-05-05,9967.730000000001
2016-05-06,6765.399999999999
2016-05-07,1688.65
2016-05-08,0.0
2016-05-09,2970.8900000000003
2016-05-10,11458.890000000001
2016-05-11,4816.34
2016-05-12,3198.390000000001
2016-05-13,5294.4
2016-05-14,1571.09
2016-05-15,0.0
2016-05-16,8302.69
2016-05-17,3925.32
2016-05-18,12868.860000000002
2016-05-19,9975.6
2016-05-20,37481.53
2016-05-21,188.3
2016-05-22,0.0
2016-05-23,11784.569999999998
2016-05-24,4671.179999999999
2016-05-25,7722.919999999999
2016-05-26,0.0
2016-05-27,7149.92
2016-05-28,7708.009999999999
2016-05-29,0.0
2016-05-30,8148.94
2016-05-31,56823.08999999998
2016-06-01,3545.6500000000005
2016-06-02,3821.419999999999
2016-06-03,4700.05
2016-06-04,3416.7500000000005
2016-06-05,0.0
2016-06-06,5626.98
2016-06-07,6561.830000000001
2016-06-08,5574.78
2016-06-09,8407.89
2016-06-10,3641.4500000000003
2016-06-11,4192.36
2016-06-12,0.0
2016-06-13,12886.819999999998
2016-06-14,7329.0199999999995
2016-06-15,0.0
2016-06-16,2245.86
2016-06-17,17434.88
2016-06-18,4215.8
2016-06-19,0.0
2016-06-20,7819.02
2016-06-21,8194.66
2016-06-22,23234.470000000005
2016-06-23,5089.460000000001
2016-06-24,40651.47
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,6054.4400000000005
2016-06-28,38227.13
2016-06-29,16648.53
2016-06-30,70315.19000000003
2016-07-01,16179.94
2016-07-02,3350.2200000000003
2016-07-03,0.0
2016-07-04,11997.880000000001
2016-07-05,5778.400000000001
2016-07-06,20699.529999999995
2016-07-07,30718.69
2016-07-08,22646.1
2016-07-09,1266.5900000000001
2016-07-10,0.0
2016-07-11,22708.760000000006
2016-07-12,5675.62
2016-07-13,29836.380000000005
2016-07-14,19922.840000000007
2016-07-15,20047.049999999996
2016-07-16,8196.699999999999
2016-07-17,0.0
2016-07-18,3704.34
2016-07-19,9091.250000000002
2016-07-20,73007.61
2016-07-21,25232.34
2016-07-22,19767.57
2016-07-23,2016.3400000000001
2016-07-24,0.0
2016-07-25,7566.83
2016-07-26,8438.64
2016-07-27,14813.82
2016-07-28,9402.4
2016-07-29,4637.66
2016-07-30,2559.9900000000002
2016-07-31,0.0
2016-08-01,7324.23
2016-08-02,53172.920000000006
2016-08-03,58178.560000000005
2016-08-04,45737.570000000014
