,VAL_CUSTO_CONTABIL
2016-04-03,0.0
2016-04-04,0.0
2016-04-05,34887.26
2016-04-06,111393.66
2016-04-07,115888.57999999999
2016-04-08,0.0
2016-04-09,0.0
2016-04-10,0.0
2016-04-11,0.0
2016-04-12,0.0
2016-04-13,0.0
2016-04-14,0.0
2016-04-15,0.0
2016-04-16,0.0
2016-04-17,0.0
2016-04-18,0.0
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,0.0
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,0.0
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,0.0
2016-04-29,0.0
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,0.0
2016-05-04,114442.98000000001
2016-05-05,149459.36
2016-05-06,311701.23
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,36511.74
2016-05-11,25000.0
2016-05-12,81654.68
2016-05-13,237702.27
2016-05-14,56731.87
2016-05-15,0.0
2016-05-16,185366.69
2016-05-17,0.0
2016-05-18,34887.26
2016-05-19,125899.22
2016-05-20,98499.8
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,82866.65
2016-05-25,164473.72999999998
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,260693.56
2016-05-31,590410.59
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,146904.33000000002
2016-06-04,44129.93
2016-06-05,0.0
2016-06-06,47969.8
2016-06-07,0.0
2016-06-08,47099.91
2016-06-09,44679.31
2016-06-10,140846.78999999998
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,41011.02
2016-06-14,217448.03
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,31000.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,68070.36
2016-06-22,138915.5
2016-06-23,64150.96
2016-06-24,219452.63999999998
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,98158.32
2016-06-28,134773.61
2016-06-29,121764.15
2016-06-30,359700.72000000003
2016-07-01,141665.27
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,236372.26
2016-07-06,167084.42
2016-07-07,83661.88
2016-07-08,61799.74
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,96755.93
2016-07-12,27000.0
2016-07-13,97922.35
2016-07-14,184143.76
2016-07-15,30120.0
2016-07-16,13000.0
2016-07-17,0.0
2016-07-18,64847.41
2016-07-19,97899.85999999999
2016-07-20,343687.57000000007
2016-07-21,72710.98999999999
2016-07-22,40363.37
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,63295.99
2016-07-26,45635.92
2016-07-27,78000.0
2016-07-28,75180.89
2016-07-29,313825.42
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,178321.56999999998
2016-08-02,51000.0
2016-08-03,157350.93
2016-08-04,47000.0
2016-08-05,59895.78
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,89861.66
2016-08-10,47441.2
2016-08-11,156839.85
2016-08-12,160013.26
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,44860.32
2016-08-16,160012.22
2016-08-17,262327.74
2016-08-18,21000.0
2016-08-19,129270.66
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,273011.27
2016-08-23,47085.12
2016-08-24,48696.1
2016-08-25,28000.0
2016-08-26,47099.91
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,363520.5
2016-08-31,543775.6
2016-09-01,79724.46
2016-09-02,221969.43
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,356830.22000000003
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,44619.78
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,120436.35
